case_id,style_id,style_label,character_label,character_name,style_name,tier,role,limit_break,limit_break_max,計算_STR,計算_DEX,計算_WIS,計算_SPR,計算_LUK,計算_CON,サポート10%加算_STR,サポート10%加算_DEX,サポート10%加算_WIS,サポート10%加算_SPR,サポート10%加算_LUK,サポート10%加算_CON,実機_STR,実機_DEX,実機_WIS,実機_SPR,実機_LUK,実機_CON,差分_実機-計算_STR,差分_実機-計算_DEX,差分_実機-計算_WIS,差分_実機-計算_SPR,差分_実機-計算_LUK,差分_実機-計算_CON,比較結果,計算前提,実機確認メモ,生成日
1001106-LB0,1001106,RKayamori06,RKayamori,茅森 月歌,つかの間の安息,S,Attacker,0,10,327,350,321,314,345,329,33,35,33,32,35,33,,,,,,,"=IF(W12="""","""",W12-K12)","=IF(X12="""","""",X12-L12)","=IF(Y12="""","""",Y12-M12)","=IF(Z12="""","""",Z12-N12)","=IF(AA12="""","""",AA12-O12)","=IF(AB12="""","""",AB12-P12)","=IF(COUNTA(W12:AB12)=0,""未入力"",IF(COUNTA(W12:AB12)<6,""一部入力"",IF(COUNTIF(AC12:AH12,0)=6,""一致"",""差分あり"")))",Lv200・転生5回・能力ボード最大・宝珠最大・装備なし。未選択の同キャラスタイルは完凸。Partyで選択した同キャラスタイルのLB上書きは組合せ依存のため本CSV外。,,2026-06-29
1001106-LB10,1001106,RKayamori06,RKayamori,茅森 月歌,つかの間の安息,S,Attacker,10,10,397,416,388,381,410,398,40,42,39,39,41,40,,,,,,,"=IF(W13="""","""",W13-K13)","=IF(X13="""","""",X13-L13)","=IF(Y13="""","""",Y13-M13)","=IF(Z13="""","""",Z13-N13)","=IF(AA13="""","""",AA13-O13)","=IF(AB13="""","""",AB13-P13)","=IF(COUNTA(W13:AB13)=0,""未入力"",IF(COUNTA(W13:AB13)<6,""一部入力"",IF(COUNTIF(AC13:AH13,0)=6,""一致"",""差分あり"")))",Lv200・転生5回・能力ボード最大・宝珠最大・装備なし。未選択の同キャラスタイルは完凸。Partyで選択した同キャラスタイルのLB上書きは組合せ依存のため本CSV外。,,2026-06-29
1001107-LB0,1001107,RKayamori07,RKayamori,茅森 月歌,ナイトクルーズ・エスコート,SS,Attacker,0,4,462,364,391,409,394,427,47,37,40,41,40,43,,,,,,,"=IF(W14="""","""",W14-K14)","=IF(X14="""","""",X14-L14)","=IF(Y14="""","""",Y14-M14)","=IF(Z14="""","""",Z14-N14)","=IF(AA14="""","""",AA14-O14)","=IF(AB14="""","""",AB14-P14)","=IF(COUNTA(W14:AB14)=0,""未入力"",IF(COUNTA(W14:AB14)<6,""一部入力"",IF(COUNTIF(AC14:AH14,0)=6,""一致"",""差分あり"")))",Lv200・転生5回・能力ボード最大・宝珠最大・装備なし。未選択の同キャラスタイルは完凸。Partyで選択した同キャラスタイルのLB上書きは組合せ依存のため本CSV外。,,2026-06-29
1001107-LB4,1001107,RKayamori07,RKayamori,茅森 月歌,ナイトクルーズ・エスコート,SS,Attacker,4,4,556,452,479,499,480,518,56,46,48,50,48,52,,,,,,,"=IF(W15="""","""",W15-K15)","=IF(X15="""","""",X15-L15)","=IF(Y15="""","""",Y15-M15)","=IF(Z15="""","""",Z15-N15)","=IF(AA15="""","""",AA15-O15)","=IF(AB15="""","""",AB15-P15)","=IF(COUNTA(W15:AB15)=0,""未入力"",IF(COUNTA(W15:AB15)<6,""一部入力"",IF(COUNTIF(AC15:AH15,0)=6,""一致"",""差分あり"")))",Lv200・転生5回・能力ボード最大・宝珠最大・装備なし。未選択の同キャラスタイルは完凸。Partyで選択した同キャラスタイルのLB上書きは組合せ依存のため本CSV外。,,2026-06-29
1001108-LB0,1001108,RKayamori08,RKayamori,茅森 月歌,The Feel of the Throne,SSR,Attacker,0,4,462,364,391,409,394,427,47,37,40,41,40,43,,,,,,,"=IF(W16="""","""",W16-K16)","=IF(X16="""","""",X16-L16)","=IF(Y16="""","""",Y16-M16)","=IF(Z16="""","""",Z16-N16)","=IF(AA16="""","""",AA16-O16)","=IF(AB16="""","""",AB16-P16)","=IF(COUNTA(W16:AB16)=0,""未入力"",IF(COUNTA(W16:AB16)<6,""一部入力"",IF(COUNTIF(AC16:AH16,0)=6,""一致"",""差分あり"")))",Lv200・転生5回・能力ボード最大・宝珠最大・装備なし。未選択の同キャラスタイルは完凸。Partyで選択した同キャラスタイルのLB上書きは組合せ依存のため本CSV外。,,2026-06-29
1001108-LB4,1001108,RKayamori08,RKayamori,茅森 月歌,The Feel of the Throne,SSR,Attacker,4,4,556,452,479,499,480,518,56,46,48,50,48,52,,,,,,,"=IF(W17="""","""",W17-K17)","=IF(X17="""","""",X17-L17)","=IF(Y17="""","""",Y17-M17)","=IF(Z17="""","""",Z17-N17)","=IF(AA17="""","""",AA17-O17)","=IF(AB17="""","""",AB17-P17)","=IF(COUNTA(W17:AB17)=0,""未入力"",IF(COUNTA(W17:AB17)<6,""一部入力"",IF(COUNTIF(AC17:AH17,0)=6,""一致"",""差分あり"")))",Lv200・転生5回・能力ボード最大・宝珠最大・装備なし。未選択の同キャラスタイルは完凸。Partyで選択した同キャラスタイルのLB上書きは組合せ依存のため本CSV外。,,2026-06-29
1001109-LB0,1001109,RKayamori09,RKayamori,茅森 月歌,白き華の歌姫,SS,Buffer,0,4,425,399,439,422,381,377,43,40,44,43,39,38,,,,,,,"=IF(W18="""","""",W18-K18)","=IF(X18="""","""",X18-L18)","=IF(Y18="""","""",Y18-M18)","=IF(Z18="""","""",Z18-N18)","=IF(AA18="""","""",AA18-O18)","=IF(AB18="""","""",AB18-P18)","=IF(COUNTA(W18:AB18)=0,""未入力"",IF(COUNTA(W18:AB18)<6,""一部入力"",IF(COUNTIF(AC18:AH18,0)=6,""一致"",""差分あり"")))",Lv200・転生5回・能力ボード最大・宝珠最大・装備なし。未選択の同キャラスタイルは完凸。Partyで選択した同キャラスタイルのLB上書きは組合せ依存のため本CSV外。,,2026-06-29
1001109-LB4,1001109,RKayamori09,RKayamori,茅森 月歌,白き華の歌姫,SS,Buffer,4,4,519,486,528,512,467,469,52,49,53,52,47,47,,,,,,,"=IF(W19="""","""",W19-K19)","=IF(X19="""","""",X19-L19)","=IF(Y19="""","""",Y19-M19)","=IF(Z19="""","""",Z19-N19)","=IF(AA19="""","""",AA19-O19)","=IF(AB19="""","""",AB19-P19)","=IF(COUNTA(W19:AB19)=0,""未入力"",IF(COUNTA(W19:AB19)<6,""一部入力"",IF(COUNTIF(AC19:AH19,0)=6,""一致"",""差分あり"")))",Lv200・転生5回・能力ボード最大・宝珠最大・装備なし。未選択の同キャラスタイルは完凸。Partyで選択した同キャラスタイルのLB上書きは組合せ依存のため本CSV外。,,2026-06-29
1001110-LB0,1001110,RKayamori10,RKayamori,茅森 月歌,白熱！勝利を呼ぶ一球入魂！,SSR,Attacker,0,4,462,364,391,409,394,427,47,37,40,41,40,43,,,,,,,"=IF(W20="""","""",W20-K20)","=IF(X20="""","""",X20-L20)","=IF(Y20="""","""",Y20-M20)","=IF(Z20="""","""",Z20-N20)","=IF(AA20="""","""",AA20-O20)","=IF(AB20="""","""",AB20-P20)","=IF(COUNTA(W20:AB20)=0,""未入力"",IF(COUNTA(W20:AB20)<6,""一部入力"",IF(COUNTIF(AC20:AH20,0)=6,""一致"",""差分あり"")))",Lv200・転生5回・能力ボード最大・宝珠最大・装備なし。未選択の同キャラスタイルは完凸。Partyで選択した同キャラスタイルのLB上書きは組合せ依存のため本CSV外。,,2026-06-29
1001110-LB4,1001110,RKayamori10,RKayamori,茅森 月歌,白熱！勝利を呼ぶ一球入魂！,SSR,Attacker,4,4,556,452,479,499,480,518,56,46,48,50,48,52,,,,,,,"=IF(W21="""","""",W21-K21)","=IF(X21="""","""",X21-L21)","=IF(Y21="""","""",Y21-M21)","=IF(Z21="""","""",Z21-N21)","=IF(AA21="""","""",AA21-O21)","=IF(AB21="""","""",AB21-P21)","=IF(COUNTA(W21:AB21)=0,""未入力"",IF(COUNTA(W21:AB21)<6,""一部入力"",IF(COUNTIF(AC21:AH21,0)=6,""一致"",""差分あり"")))",Lv200・転生5回・能力ボード最大・宝珠最大・装備なし。未選択の同キャラスタイルは完凸。Partyで選択した同キャラスタイルのLB上書きは組合せ依存のため本CSV外。,,2026-06-29
1001111-LB0,1001111,RKayamori11,RKayamori,茅森 月歌,Glorious Blades,SSR,Admiral,0,4,425,399,439,422,381,377,43,40,44,43,39,38,,,,,,,"=IF(W22="""","""",W22-K22)","=IF(X22="""","""",X22-L22)","=IF(Y22="""","""",Y22-M22)","=IF(Z22="""","""",Z22-N22)","=IF(AA22="""","""",AA22-O22)","=IF(AB22="""","""",AB22-P22)","=IF(COUNTA(W22:AB22)=0,""未入力"",IF(COUNTA(W22:AB22)<6,""一部入力"",IF(COUNTIF(AC22:AH22,0)=6,""一致"",""差分あり"")))",Lv200・転生5回・能力ボード最大・宝珠最大・装備なし。未選択の同キャラスタイルは完凸。Partyで選択した同キャラスタイルのLB上書きは組合せ依存のため本CSV外。,,2026-06-29
1001111-LB4,1001111,RKayamori11,RKayamori,茅森 月歌,Glorious Blades,SSR,Admiral,4,4,519,486,528,512,467,469,52,49,53,52,47,47,,,,,,,"=IF(W23="""","""",W23-K23)","=IF(X23="""","""",X23-L23)","=IF(Y23="""","""",Y23-M23)","=IF(Z23="""","""",Z23-N23)","=IF(AA23="""","""",AA23-O23)","=IF(AB23="""","""",AB23-P23)","=IF(COUNTA(W23:AB23)=0,""未入力"",IF(COUNTA(W23:AB23)<6,""一部入力"",IF(COUNTIF(AC23:AH23,0)=6,""一致"",""差分あり"")))",Lv200・転生5回・能力ボード最大・宝珠最大・装備なし。未選択の同キャラスタイルは完凸。Partyで選択した同キャラスタイルのLB上書きは組合せ依存のため本CSV外。,,2026-06-29
1001112-LB0,1001112,RKayamori12,RKayamori,茅森 月歌,TAKE YOUR HEART,SSR,Debuffer,0,4,425,399,439,422,381,377,43,40,44,43,39,38,,,,,,,"=IF(W24="""","""",W24-K24)","=IF(X24="""","""",X24-L24)","=IF(Y24="""","""",Y24-M24)","=IF(Z24="""","""",Z24-N24)","=IF(AA24="""","""",AA24-O24)","=IF(AB24="""","""",AB24-P24)","=IF(COUNTA(W24:AB24)=0,""未入力"",IF(COUNTA(W24:AB24)<6,""一部入力"",IF(COUNTIF(AC24:AH24,0)=6,""一致"",""差分あり"")))",Lv200・転生5回・能力ボード最大・宝珠最大・装備なし。未選択の同キャラスタイルは完凸。Partyで選択した同キャラスタイルのLB上書きは組合せ依存のため本CSV外。,,2026-06-29
1001112-LB4,1001112,RKayamori12,RKayamori,茅森 月歌,TAKE YOUR HEART,SSR,Debuffer,4,4,519,486,528,512,467,469,52,49,53,52,47,47,,,,,,,"=IF(W25="""","""",W25-K25)","=IF(X25="""","""",X25-L25)","=IF(Y25="""","""",Y25-M25)","=IF(Z25="""","""",Z25-N25)","=IF(AA25="""","""",AA25-O25)","=IF(AB25="""","""",AB25-P25)","=IF(COUNTA(W25:AB25)=0,""未入力"",IF(COUNTA(W25:AB25)<6,""一部入力"",IF(COUNTIF(AC25:AH25,0)=6,""一致"",""差分あり"")))",Lv200・転生5回・能力ボード最大・宝珠最大・装備なし。未選択の同キャラスタイルは完凸。Partyで選択した同キャラスタイルのLB上書きは組合せ依存のため本CSV外。,,2026-06-29
1001201-LB0,1001201,YIzumi01,YIzumi,和泉 ユキ,Attack or March,A,Breaker,0,20,285,266,247,280,284,284,29,27,25,28,29,29,,,,,,,"=IF(W26="""","""",W26-K26)","=IF(X26="""","""",X26-L26)","=IF(Y26="""","""",Y26-M26)","=IF(Z26="""","""",Z26-N26)","=IF(AA26="""","""",AA26-O26)","=IF(AB26="""","""",AB26-P26)","=IF(COUNTA(W26:AB26)=0,""未入力"",IF(COUNTA(W26:AB26)<6,""一部入力"",IF(COUNTIF(AC26:AH26,0)=6,""一致"",""差分あり"")))",Lv200・転生5回・能力ボード最大・宝珠最大・装備なし。未選択の同キャラスタイルは完凸。Partyで選択した同キャラスタイルのLB上書きは組合せ依存のため本CSV外。,,2026-06-29
1001201-LB20,1001201,YIzumi01,YIzumi,和泉 ユキ,Attack or March,A,Breaker,20,20,329,314,291,324,329,326,33,32,30,33,33,33,,,,,,,"=IF(W27="""","""",W27-K27)","=IF(X27="""","""",X27-L27)","=IF(Y27="""","""",Y27-M27)","=IF(Z27="""","""",Z27-N27)","=IF(AA27="""","""",AA27-O27)","=IF(AB27="""","""",AB27-P27)","=IF(COUNTA(W27:AB27)=0,""未入力"",IF(COUNTA(W27:AB27)<6,""一部入力"",IF(COUNTIF(AC27:AH27,0)=6,""一致"",""差分あり"")))",Lv200・転生5回・能力ボード最大・宝珠最大・装備なし。未選択の同キャラスタイルは完凸。Partyで選択した同キャラスタイルのLB上書きは組合せ依存のため本CSV外。,,2026-06-29
1001202-LB0,1001202,YIzumi02,YIzumi,和泉 ユキ,夢幻のSleeping Ocelot,S,Breaker,0,10,313,341,348,351,311,300,32,35,35,36,32,30,,,,,,,"=IF(W28="""","""",W28-K28)","=IF(X28="""","""",X28-L28)","=IF(Y28="""","""",Y28-M28)","=IF(Z28="""","""",Z28-N28)","=IF(AA28="""","""",AA28-O28)","=IF(AB28="""","""",AB28-P28)","=IF(COUNTA(W28:AB28)=0,""未入力"",IF(COUNTA(W28:AB28)<6,""一部入力"",IF(COUNTIF(AC28:AH28,0)=6,""一致"",""差分あり"")))",Lv200・転生5回・能力ボード最大・宝珠最大・装備なし。未選択の同キャラスタイルは完凸。Partyで選択した同キャラスタイルのLB上書きは組合せ依存のため本CSV外。,,2026-06-29
1001202-LB10,1001202,YIzumi02,YIzumi,和泉 ユキ,夢幻のSleeping Ocelot,S,Breaker,10,10,378,413,417,417,378,364,38,42,42,42,38,37,,,,,,,"=IF(W29="""","""",W29-K29)","=IF(X29="""","""",X29-L29)","=IF(Y29="""","""",Y29-M29)","=IF(Z29="""","""",Z29-N29)","=IF(AA29="""","""",AA29-O29)","=IF(AB29="""","""",AB29-P29)","=IF(COUNTA(W29:AB29)=0,""未入力"",IF(COUNTA(W29:AB29)<6,""一部入力"",IF(COUNTIF(AC29:AH29,0)=6,""一致"",""差分あり"")))",Lv200・転生5回・能力ボード最大・宝珠最大・装備なし。未選択の同キャラスタイルは完凸。Partyで選択した同キャラスタイルのLB上書きは組合せ依存のため本CSV外。,,2026-06-29
1001203-LB0,1001203,YIzumi03,YIzumi,和泉 ユキ,終いのSpitfire,SS,Breaker,0,4,338,442,378,365,396,369,34,45,38,37,40,37,,,,,,,"=IF(W30="""","""",W30-K30)","=IF(X30="""","""",X30-L30)","=IF(Y30="""","""",Y30-M30)","=IF(Z30="""","""",Z30-N30)","=IF(AA30="""","""",AA30-O30)","=IF(AB30="""","""",AB30-P30)","=IF(COUNTA(W30:AB30)=0,""未入力"",IF(COUNTA(W30:AB30)<6,""一部入力"",IF(COUNTIF(AC30:AH30,0)=6,""一致"",""差分あり"")))",Lv200・転生5回・能力ボード最大・宝珠最大・装備なし。未選択の同キャラスタイルは完凸。Partyで選択した同キャラスタイルのLB上書きは組合せ依存のため本CSV外。,,2026-06-29
1001203-LB4,1001203,YIzumi03,YIzumi,和泉 ユキ,終いのSpitfire,SS,Breaker,4,4,424,537,466,453,485,455,43,54,47,46,49,46,,,,,,,"=IF(W31="""","""",W31-K31)","=IF(X31="""","""",X31-L31)","=IF(Y31="""","""",Y31-M31)","=IF(Z31="""","""",Z31-N31)","=IF(AA31="""","""",AA31-O31)","=IF(AB31="""","""",AB31-P31)","=IF(COUNTA(W31:AB31)=0,""未入力"",IF(COUNTA(W31:AB31)<6,""一部入力"",IF(COUNTIF(AC31:AH31,0)=6,""一致"",""差分あり"")))",Lv200・転生5回・能力ボード最大・宝珠最大・装備なし。未選択の同キャラスタイルは完凸。Partyで選択した同キャラスタイルのLB上書きは組合せ依存のため本CSV外。,,2026-06-29
1001204-LB0,1001204,YIzumi04,YIzumi,和泉 ユキ,夏椿、けうらなる夜光星,SS,Breaker,0,4,359,466,400,387,419,391,36,47,40,39,42,40,,,,,,,"=IF(W32="""","""",W32-K32)","=IF(X32="""","""",X32-L32)","=IF(Y32="""","""",Y32-M32)","=IF(Z32="""","""",Z32-N32)","=IF(AA32="""","""",AA32-O32)","=IF(AB32="""","""",AB32-P32)","=IF(COUNTA(W32:AB32)=0,""未入力"",IF(COUNTA(W32:AB32)<6,""一部入力"",IF(COUNTIF(AC32:AH32,0)=6,""一致"",""差分あり"")))",Lv200・転生5回・能力ボード最大・宝珠最大・装備なし。未選択の同キャラスタイルは完凸。Partyで選択した同キャラスタイルのLB上書きは組合せ依存のため本CSV外。,,2026-06-29
1001204-LB4,1001204,YIzumi04,YIzumi,和泉 ユキ,夏椿、けうらなる夜光星,SS,Breaker,4,4,446,561,488,475,508,476,45,57,49,48,51,48,,,,,,,"=IF(W33="""","""",W33-K33)","=IF(X33="""","""",X33-L33)","=IF(Y33="""","""",Y33-M33)","=IF(Z33="""","""",Z33-N33)","=IF(AA33="""","""",AA33-O33)","=IF(AB33="""","""",AB33-P33)","=IF(COUNTA(W33:AB33)=0,""未入力"",IF(COUNTA(W33:AB33)<6,""一部入力"",IF(COUNTIF(AC33:AH33,0)=6,""一致"",""差分あり"")))",Lv200・転生5回・能力ボード最大・宝珠最大・装備なし。未選択の同キャラスタイルは完凸。Partyで選択した同キャラスタイルのLB上書きは組合せ依存のため本CSV外。,,2026-06-29
1001205-LB0,1001205,YIzumi05,YIzumi,和泉 ユキ,ナイトクルーズ・アテンダント,SS,Breaker,0,4,359,466,400,387,419,391,36,47,40,39,42,40,,,,,,,"=IF(W34="""","""",W34-K34)","=IF(X34="""","""",X34-L34)","=IF(Y34="""","""",Y34-M34)","=IF(Z34="""","""",Z34-N34)","=IF(AA34="""","""",AA34-O34)","=IF(AB34="""","""",AB34-P34)","=IF(COUNTA(W34:AB34)=0,""未入力"",IF(COUNTA(W34:AB34)<6,""一部入力"",IF(COUNTIF(AC34:AH34,0)=6,""一致"",""差分あり"")))",Lv200・転生5回・能力ボード最大・宝珠最大・装備なし。未選択の同キャラスタイルは完凸。Partyで選択した同キャラスタイルのLB上書きは組合せ依存のため本CSV外。,,2026-06-29
1001205-LB4,1001205,YIzumi05,YIzumi,和泉 ユキ,ナイトクルーズ・アテンダント,SS,Breaker,4,4,446,561,488,475,508,476,45,57,49,48,51,48,,,,,,,"=IF(W35="""","""",W35-K35)","=IF(X35="""","""",X35-L35)","=IF(Y35="""","""",Y35-M35)","=IF(Z35="""","""",Z35-N35)","=IF(AA35="""","""",AA35-O35)","=IF(AB35="""","""",AB35-P35)","=IF(COUNTA(W35:AB35)=0,""未入力"",IF(COUNTA(W35:AB35)<6,""一部入力"",IF(COUNTIF(AC35:AH35,0)=6,""一致"",""差分あり"")))",Lv200・転生5回・能力ボード最大・宝珠最大・装備なし。未選択の同キャラスタイルは完凸。Partyで選択した同キャラスタイルのLB上書きは組合せ依存のため本CSV外。,,2026-06-29
